date,site,survey,plot,in,on,next,bare_rock,treatment,wave_exposure,total,percent_cover_barnacles,notes,total_in_treatment,total_out
Oct-23-2021,Rance_island,1,6,3,1,16,8,Cleared,Sheltered,28,20.5,,38,
Oct-23-2021,Rance_island,1,7,1,3,10,4,Cleared,Sheltered,18,15.5,"three photos taken, photos show yellow in corner not there, 1 down from normal?",38,
Oct-23-2021,Rance_island,1,8,3,3,9,5,Kill,Sheltered,20,29,Vertical plot,38,
Oct-23-2021,Rance_island,1,9,7,6,18,6,Kill,Sheltered,37,20.5,Treatment not written down,38,
Oct-23-2021,Rance_island,1,10,0,0,14,1,Cleared,Sheltered,15,16.5,,38,
Oct-23-2021,Rance_island,1,11,5,2,15,1,Kill,Sheltered,23,20.5,Treatment not written down,38,
Oct-23-2021,Rance_island,1,12,7,13,39,8,Leave,Sheltered,67,34,,38,
Oct-24-2021,Strawberry_point,1,1,7,8,23,6,Kill,Sheltered,44,25.5,,78,
Oct-24-2021,Strawberry_point,1,2,5,1,15,3,Cleared,Sheltered,24,21.5,,78,
Oct-24-2021,Strawberry_point,1,3,3,0,3,2,Leave,Sheltered,8,17,"We have two sites labeled as ""site 3"", we will need to compare photos to figure this out",78,
Oct-24-2021,Strawberry_point,1,4,7,1,8,1,Leave,Sheltered,17,42,,78,
Oct-24-2021,Strawberry_point,1,5,15,0,2,0,Leave,Sheltered,17,29.5,,78,
Oct-24-2021,Strawberry_point,1,6,3,0,2,0,Cleared,Sheltered,5,38,,78,
Oct-24-2021,Strawberry_point,1,7,3,0,2,0,Kill,Sheltered,5,21.5,,78,
Oct-24-2021,Strawberry_point,1,8,1,0,10,2,Leave,Sheltered,13,12.5,,78,
Oct-24-2021,Strawberry_point,1,9,20,2,20,2,Cleared,Sheltered,44,34,Vertical sitting of the quadrat and tilted to a diamond and not square,78,
Oct-24-2021,Strawberry_point,1,10,2,0,9,0,Kill,Sheltered,11,24.5,Far last plot towards the mouth of the inlet,78,
Oct-24-2021,Strawberry_point,1,11,1,0,7,0,Kill,Sheltered,8,18,2nd one in from the left,78,
Oct-24-2021,Strawberry_point,1,12,11,0,12,3,Cleared,Sheltered,26,15.5,First plot of the transect: Shot with yellow in the middle,78,
Oct-30-2021,Brady_point,2,1,0,0,0,12,Cleared,Exposed,12,84,,0,56
Oct-30-2021,Brady_point,2,2,0,0,0,7,Cleared,Exposed,7,60.5,,0,56
Oct-30-2021,Brady_point,2,3,9,44,38,0,Leave,Exposed,91,80.5,photo taken is off the paint is not quite in the right place but we can figure it out,29,381
Oct-30-2021,Brady_point,2,4,0,0,0,5,Cleared,Exposed,5,77.5,,0,56
Oct-30-2021,Brady_point,2,5,14,21,80,0,Leave,Exposed,115,79.5,,29,381
Oct-30-2021,Brady_point,2,6,0,0,0,32,Cleared,Exposed,32,64,Groove present where snails mostly found,0,56
Oct-30-2021,Brady_point,2,7,35,13,52,6,Kill,Exposed,106,55,,177,227
Oct-30-2021,Brady_point,2,8,1,12,87,4,Leave,Exposed,104,42.5,,29,381
Oct-30-2021,Brady_point,2,9,41,11,37,34,Kill,Exposed,123,51,,177,227
Oct-30-2021,Brady_point,2,10,5,21,67,7,Leave,Exposed,100,82.5,,29,381
Oct-30-2021,Brady_point,2,11,34,4,36,0,Kill,Exposed,74,54.5,"Site was poorly killed first time around -Carter killed the rest on second week, Second set of photos is plot 11",177,227
Oct-30-2021,Brady_point,2,12,67,1,33,0,Kill,Exposed,101,62,1st photo in Carters Phone is plot 12,177,227
Oct-30-2021,Scotts_bay,2,1,0,0,0,3,Cleared,Exposed,3,68.5,,0,29
Oct-30-2021,Scotts_bay,2,2,36,4,22,0,Kill,Exposed,62,87.5,,237,208
Oct-30-2021,Scotts_bay,2,3,2,10,34,0,Leave,Exposed,46,76.5,,34,217
Oct-30-2021,Scotts_bay,2,4,0,0,3,6,Cleared,Exposed,9,71,,0,29
Oct-30-2021,Scotts_bay,2,5,24,9,15,0,Kill,Exposed,48,83.5,,237,208
Oct-30-2021,Scotts_bay,2,6,7,7,31,0,Leave,Exposed,45,75.5,,34,217
Oct-30-2021,Scotts_bay,2,7,65,17,46,3,Kill,Exposed,131,73,,237,208
Oct-30-2021,Scotts_bay,2,8,112,13,78,1,Kill,Exposed,204,68,,237,208
Oct-30-2021,Scotts_bay,2,9,0,0,5,9,Cleared,Exposed,14,70,,0,29
Oct-30-2021,Scotts_bay,2,10,0,0,0,3,Cleared,Exposed,3,71.5,,0,29
Oct-30-2021,Scotts_bay,2,11,5,7,18,0,Leave,Exposed,30,72.5,,34,217
Oct-30-2021,Scotts_bay,2,12,20,20,82,8,Leave,Exposed,130,62,,34,217
Nov-6-2021,Rance_island,2,1,0,1,3,1,Leave,Sheltered,5,20.5,,9,48
Nov-6-2021,Rance_island,2,2,0,0,0,7,Leave,Sheltered,7,18,Crevice present where most snails found,9,48
Nov-6-2021,Rance_island,2,3,0,0,0,2,Cleared,Sheltered,2,25,,0,7
Nov-6-2021,Rance_island,2,4,4,8,9,4,Leave,Sheltered,25,20,Crevice present where most snails found outside barnacle tests (9 in total),9,48
Nov-6-2021,Rance_island,2,5,34,2,0,0,Kill,Sheltered,36,41,,112,43
Nov-6-2021,Rance_island,2,6,0,0,0,0,Cleared,Sheltered,0,20.5,,0,7
Nov-6-2021,Rance_island,2,7,0,0,0,5,Cleared,Sheltered,5,15.5,,0,7
Nov-6-2021,Rance_island,2,8,26,7,10,0,Kill,Sheltered,43,29,All 10 next found in crevice,112,43
Nov-6-2021,Rance_island,2,9,23,1,11,4,Kill,Sheltered,39,20.5,,112,43
Nov-6-2021,Rance_island,2,10,0,0,0,0,Cleared,Sheltered,0,16.5,,0,7
Nov-6-2021,Rance_island,2,11,29,7,0,1,Kill,Sheltered,37,20.5,,112,43
Nov-6-2021,Rance_island,2,12,5,3,12,0,Leave,Sheltered,20,34,,9,48
Nov-6-2021,Strawberry_point,2,1,28,2,1,0,Kill,Sheltered,31,25.5,,62,11
Nov-6-2021,Strawberry_point,2,2,0,0,0,0,Cleared,Sheltered,0,21.5,,0,9
Nov-6-2021,Strawberry_point,2,3,5,0,5,5,Leave,Sheltered,15,17,,28,39
Nov-6-2021,Strawberry_point,2,4,7,3,7,1,Leave,Sheltered,18,42,,28,39
Nov-6-2021,Strawberry_point,2,5,14,0,7,0,Leave,Sheltered,21,29.5,,28,39
Nov-6-2021,Strawberry_point,2,6,0,0,0,0,Cleared,Sheltered,0,38,,0,9
Nov-6-2021,Strawberry_point,2,7,14,0,2,0,Kill,Sheltered,16,21.5,,62,11
Nov-6-2021,Strawberry_point,2,8,2,0,8,3,Leave,Sheltered,13,12.5,,28,39
Nov-6-2021,Strawberry_point,2,9,0,0,0,7,Cleared,Sheltered,7,34,Crevice present where most snails found,0,9
Nov-6-2021,Strawberry_point,2,10,7,0,0,0,Kill,Sheltered,7,24.5,,62,11
Nov-6-2021,Strawberry_point,2,11,13,0,5,1,Kill,Sheltered,19,18,,62,11
Nov-6-2021,Strawberry_point,2,12,0,0,0,2,Cleared,Sheltered,2,15.5,,0,9
Nov-13-2021,Brady_point,3,1,0,0,0,2,Cleared,Exposed,2,,,272,
Nov-13-2021,Brady_point,3,2,0,0,0,1,Cleared,Exposed,1,,next to two limpets,272,
Nov-13-2021,Brady_point,3,3,14,16,35,1,Leave,Exposed,66,,,272,
Nov-13-2021,Brady_point,3,4,0,0,0,0,Cleared,Exposed,0,,,272,
Nov-13-2021,Brady_point,3,5,22,15,40,0,Leave,Exposed,77,,,272,
Nov-13-2021,Brady_point,3,6,0,0,0,13,Cleared,Exposed,13,,11 in a crevice,272,
Nov-13-2021,Brady_point,3,7,85,8,24,11,Kill,Exposed,128,,,272,
Nov-13-2021,Brady_point,3,8,4,9,75,1,Leave,Exposed,89,,,272,
Nov-13-2021,Brady_point,3,9,53,2,35,0,Kill,Exposed,90,,First 10 were all under one crevice,272,
Nov-13-2021,Brady_point,3,10,8,7,36,1,Leave,Exposed,52,,,272,
Nov-13-2021,Brady_point,3,11,47,6,9,1,Kill,Exposed,63,,,272,
Nov-13-2021,Brady_point,3,12,39,2,8,0,Kill,Exposed,49,,,272,
Nov-13-2021,Scotts_bay,3,1,0,0,0,2,Cleared,Exposed,2,,,285,
Nov-13-2021,Scotts_bay,3,2,77,7,21,0,Kill,Exposed,105,,,285,
Nov-13-2021,Scotts_bay,3,3,2,11,35,2,Leave,Exposed,50,,,285,
Nov-13-2021,Scotts_bay,3,4,0,0,0,5,Cleared,Exposed,5,,,285,
Nov-13-2021,Scotts_bay,3,5,22,4,14,2,Kill,Exposed,42,,,285,
Nov-13-2021,Scotts_bay,3,6,7,11,44,0,Leave,Exposed,62,,,285,
Nov-13-2021,Scotts_bay,3,7,103,14,39,3,Kill,Exposed,159,,,285,
Nov-13-2021,Scotts_bay,3,8,57,8,73,2,Kill,Exposed,140,,,285,
Nov-13-2021,Scotts_bay,3,9,0,0,0,15,Cleared,Exposed,15,,,285,
Nov-13-2021,Scotts_bay,3,10,0,0,0,12,Cleared,Exposed,12,,,285,
Nov-13-2021,Scotts_bay,3,11,9,4,19,1,Leave,Exposed,33,,,285,
Nov-13-2021,Scotts_bay,3,12,8,5,41,0,Leave,Exposed,54,,,285,
Nov-,Rance_island,3,1,,,,,Leave,Sheltered,,,,,
,Rance_island,3,2,,,,,Leave,Sheltered,,,,,
,Rance_island,3,3,,,,,Cleared,Sheltered,,,,,
,Rance_island,3,4,,,,,Leave,Sheltered,,,,,
,Rance_island,3,5,,,,,Kill,Sheltered,,,,,
,Rance_island,3,6,,,,,Cleared,Sheltered,,,,,
,Rance_island,3,7,,,,,Cleared,Sheltered,,,,,
,Rance_island,3,8,,,,,Kill,Sheltered,,,,,
,Rance_island,3,9,,,,,Kill,Sheltered,,,,,
,Rance_island,3,10,,,,,Cleared,Sheltered,,,,,
,Rance_island,3,11,,,,,Kill,Sheltered,,,,,
,Rance_island,3,12,,,,,Leave,Sheltered,,,,,
,Strawberry_point,3,1,,,,,Kill,Sheltered,,,,,
,Strawberry_point,3,2,,,,,Cleared,Sheltered,,,,,
,Strawberry_point,3,3,,,,,Leave,Sheltered,,,,,
,Strawberry_point,3,4,,,,,Leave,Sheltered,,,,,
,Strawberry_point,3,5,,,,,Leave,Sheltered,,,,,
,Strawberry_point,3,6,,,,,Cleared,Sheltered,,,,,
,Strawberry_point,3,7,,,,,Kill,Sheltered,,,,,
,Strawberry_point,3,8,,,,,Leave,Sheltered,,,,,
,Strawberry_point,3,9,,,,,Cleared,Sheltered,,,,,
,Strawberry_point,3,10,,,,,Kill,Sheltered,,,,,
,Strawberry_point,3,11,,,,,Kill,Sheltered,,,,,
,Strawberry_point,3,12,,,,,Cleared,Sheltered,,,,,
